City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
375,Dicabisagan,17.0818,122.4157,79.14,88,13,0.98,PH,2022-09-28 14:24:59
376,Seoul,37.5683,126.9778,63.84,94,0,3.44,KR,2022-09-28 14:25:00
377,Naze,28.3667,129.4833,72.52,81,5,5.26,JP,2022-09-28 14:25:00
378,Sokoni,-6.4333,39.55,76.69,77,89,16.04,TZ,2022-09-28 14:25:00
379,Kayasula,44.325,45.0,79.07,40,93,5.84,RU,2022-09-28 14:25:00
380,Alexandria,31.2156,29.9553,90.14,48,0,9.22,EG,2022-09-28 14:25:01
381,Komsomolskiy,40.4272,71.7189,72.32,28,3,4.61,UZ,2022-09-28 14:25:01
382,Synya,65.3718,58.0387,28.87,75,39,4.32,RU,2022-09-28 14:25:01
383,Boromo,11.75,-2.9333,87.19,58,45,12.48,BF,2022-09-28 14:25:02
384,Hami,42.8,93.45,73.69,23,94,4.72,CN,2022-09-28 14:25:02
385,Kiama,-34.6833,150.8667,57.99,93,94,5.01,AU,2022-09-28 14:23:05
386,Barcelos,41.5388,-8.6151,62.74,58,41,11.54,PT,2022-09-28 14:25:02
387,San Carlos,9.6612,-68.5827,79.9,81,100,2.3,VE,2022-09-28 14:25:03
388,Menongue,-14.6585,17.691,96.78,10,19,9.6,AO,2022-09-28 14:21:12
389,Safranbolu,41.2508,32.6942,68.31,71,69,4.5,TR,2022-09-28 14:25:03
390,Opuwo,-18.0607,13.84,96.4,11,8,12.1,NA,2022-09-28 14:25:03
391,Whitehorse,60.7161,-135.0538,29.17,93,0,3.44,CA,2022-09-28 14:25:04
392,Boa Vista,2.8197,-60.6733,87.78,62,20,10.36,BR,2022-09-28 14:25:04
393,Hattiesburg,31.3271,-89.2903,68.65,54,0,10.36,US,2022-09-28 14:24:39
394,Winslow,35.0242,-110.6974,57.38,62,0,9.22,US,2022-09-28 14:25:04
395,Poncitlan,20.3667,-102.9167,60.71,72,95,6.51,MX,2022-09-28 14:25:04
396,Muzhi,65.3667,64.6667,29.59,80,100,7.34,RU,2022-09-28 14:25:05
397,Jilotzingo,19.87,-99.0578,57.88,87,100,5.53,MX,2022-09-28 14:25:05
398,Sawakin,19.1059,37.3321,95.67,33,2,7.4,SD,2022-09-28 14:25:05
399,Salalah,17.0151,54.0924,82.49,83,75,10.36,OM,2022-09-28 14:25:06
400,Mehamn,71.0357,27.8492,48.11,77,29,9.66,NO,2022-09-28 14:25:06
401,Barcelona,41.3888,2.159,80.15,45,20,16.11,ES,2022-09-28 14:25:06
402,Vila Franca Do Campo,37.7167,-25.4333,76.19,70,88,11.41,PT,2022-09-28 14:25:07
403,Xinqing,48.2333,129.5,37.17,72,5,1.23,CN,2022-09-28 14:25:07
404,Okha,53.5739,142.9478,44.08,68,96,15.59,RU,2022-09-28 14:25:07
405,Kachiry,53.0675,76.1036,34.41,57,100,7.76,KZ,2022-09-28 14:25:07
406,Havoysund,70.9963,24.6622,50.23,80,32,13.15,NO,2022-09-28 14:25:08
407,Strezhevoy,60.7333,77.5889,30.16,75,99,6.02,RU,2022-09-28 14:25:08
408,Lowestoft,52.4752,1.7516,59.23,77,83,12.41,GB,2022-09-28 14:25:08
409,Kabalo,-6.05,26.9167,83.26,51,99,5.64,CD,2022-09-28 14:25:08
410,Cueramaro,20.6167,-101.7167,58.42,77,96,4.68,MX,2022-09-28 14:25:09
411,Pengcheng,36.4311,114.17,73.94,32,5,2.3,CN,2022-09-28 14:25:09
412,Weiser,44.251,-116.9693,50.2,29,10,3.18,US,2022-09-28 14:25:10
413,Naryan-Mar,67.6713,53.087,32.14,65,15,7.61,RU,2022-09-28 14:25:10
414,Rangoon,16.8053,96.1561,80.56,94,75,3.44,MM,2022-09-28 14:26:10
415,Korla,41.7597,86.1469,74.64,20,39,5.1,CN,2022-09-28 14:26:10
416,Tara,56.8944,74.371,30.79,72,100,6.76,RU,2022-09-28 14:26:11
417,Rafaela,-31.2503,-61.4867,71.01,48,100,5.01,AR,2022-09-28 14:26:11
418,Mabua,9.8089,125.4422,79.81,82,100,5.32,PH,2022-09-28 14:26:11
419,Flinders,-34.5833,150.8552,56.37,90,86,4.0,AU,2022-09-28 14:26:11
420,Maltahohe,-24.8333,16.9833,88.7,13,87,5.97,NA,2022-09-28 14:26:12
421,Hagenow,53.4333,11.1833,56.16,68,82,6.13,DE,2022-09-28 14:26:12
422,Ankang,32.68,109.0172,63.79,76,48,0.49,CN,2022-09-28 14:26:13
423,Chiredzi,-21.05,31.6667,88.9,24,41,13.22,ZW,2022-09-28 14:26:13
424,Hambantota,6.1241,81.1185,79.14,83,20,4.61,LK,2022-09-28 14:26:13
425,Margate,51.3813,1.3862,57.31,66,62,4.0,GB,2022-09-28 14:26:13
426,Zhigansk,66.7697,123.3711,28.67,91,96,4.47,RU,2022-09-28 14:26:14
427,Yining,29.0361,114.5636,70.18,72,2,2.39,CN,2022-09-28 14:26:14
428,Salta,-24.7859,-65.4117,53.58,83,100,5.99,AR,2022-09-28 14:26:14
429,North Platte,41.1239,-100.7654,58.06,67,0,15.01,US,2022-09-28 14:26:15
430,Klaksvik,62.2266,-6.589,47.32,87,100,15.23,FO,2022-09-28 14:26:15
431,General Roca,-39.0333,-67.5833,65.93,30,0,15.73,AR,2022-09-28 14:26:15
432,Camacha,33.0833,-16.3333,72.82,60,40,10.36,PT,2022-09-28 14:26:16
433,Awassa,7.05,38.4667,70.81,72,98,4.81,ET,2022-09-28 14:26:16
434,Watsa,3.0372,29.5355,71.46,89,100,2.01,CD,2022-09-28 14:26:16
435,San Carlos De Bariloche,-41.1456,-71.3082,56.95,24,0,5.75,AR,2022-09-28 14:21:48
436,Campbellton,48.0075,-66.6727,55.85,84,74,2.91,CA,2022-09-28 14:26:17
437,Voineasa,44.2833,24.1333,73.36,60,7,8.05,RO,2022-09-28 14:26:17
438,Pringsewu,-5.3582,104.9744,74.95,90,47,4.83,ID,2022-09-28 14:26:17
439,Aklavik,68.2191,-135.0107,16.45,91,36,3.31,CA,2022-09-28 14:26:17
440,Coahuayana,18.7333,-103.6833,77.09,91,100,3.42,MX,2022-09-28 14:26:18
441,Gamba,-2.65,10.0,77.81,75,61,10.18,GA,2022-09-28 14:26:18
442,Pontianak,-0.0333,109.3333,76.98,94,40,2.3,ID,2022-09-28 14:26:18
443,Tyazhinskiy,56.116,88.524,37.06,97,100,13.04,RU,2022-09-28 14:26:19
444,Tambun,-6.2641,107.0712,84.49,65,25,2.55,ID,2022-09-28 14:26:19
445,Honiara,-9.4333,159.95,76.62,84,41,4.79,SB,2022-09-28 14:26:19
446,Cabedelo,-6.9811,-34.8339,83.07,61,9,13.91,BR,2022-09-28 14:26:19
447,Severnyy,50.677,36.5532,55.44,88,100,8.95,RU,2022-09-28 14:26:20
448,Kaoma,-14.7833,24.8,94.59,12,100,13.8,ZM,2022-09-28 14:26:20
449,Paungde,18.4833,95.5,78.06,88,7,2.26,MM,2022-09-28 14:26:20
450,Okhotsk,59.3833,143.3,41.16,82,100,20.85,RU,2022-09-28 14:26:20
451,Faanui,-16.4833,-151.75,78.08,73,8,12.53,PF,2022-09-28 14:26:21
452,Goderich,43.7501,-81.7165,51.91,87,100,10.36,CA,2022-09-28 14:26:21
453,Muravlenko,63.7898,74.523,27.03,73,87,10.27,RU,2022-09-28 14:26:21
454,Juba,4.8517,31.5825,90.99,37,89,1.52,SS,2022-09-28 14:26:22
455,Krasnyy Yar,46.5331,48.3456,70.97,50,100,8.95,RU,2022-09-28 14:26:22
456,Harper,4.375,-7.7169,78.58,82,100,11.77,LR,2022-09-28 14:26:22
457,Tiksi,71.6872,128.8694,31.91,87,100,11.95,RU,2022-09-28 14:26:22
458,Hellin,38.5106,-1.701,77.38,26,87,16.91,ES,2022-09-28 14:26:23
459,Del Rio,29.3627,-100.8968,66.22,68,0,6.91,US,2022-09-28 14:25:03
460,Saint-Denis,48.9167,2.3333,61.5,67,75,10.36,FR,2022-09-28 14:26:23
461,Coquimbo,-29.9533,-71.3436,55.13,87,100,8.05,CL,2022-09-28 14:23:43
462,Shalakusha,62.2247,40.2539,46.29,66,48,10.09,RU,2022-09-28 14:26:23
463,Vestmannaeyjar,63.4427,-20.2734,48.11,82,100,12.26,IS,2022-09-28 14:26:23
464,Kerema,-7.9631,145.7785,78.91,85,100,5.26,PG,2022-09-28 14:27:24
465,Anloga,5.7947,0.8973,78.17,82,91,14.25,GH,2022-09-28 14:27:24
466,Fort Nelson,58.8053,-122.7002,53.19,62,75,5.75,CA,2022-09-28 14:27:24
467,Luderitz,-26.6481,15.1594,69.22,53,36,17.34,NA,2022-09-28 14:27:26
468,Neuquen,-38.9516,-68.0591,62.49,31,0,5.75,AR,2022-09-28 14:27:26
469,Yurginskoye,56.8189,67.3921,28.45,70,100,6.53,RU,2022-09-28 14:27:27
470,Gusinoye Ozero,51.1144,106.2614,39.42,87,53,3.38,RU,2022-09-28 14:27:27
471,Stykkisholmur,65.0757,-22.7297,44.55,73,100,8.25,IS,2022-09-28 14:27:27
472,Rawson,-43.3002,-65.1023,64.2,30,0,11.39,AR,2022-09-28 14:27:28
473,Nexo,55.0607,15.1306,51.89,76,100,12.24,DK,2022-09-28 14:27:28
474,Nizhniy Baskunchak,48.2198,46.8311,69.49,59,100,7.65,RU,2022-09-28 14:27:28
475,Xai-Xai,-25.0519,33.6442,75.96,67,0,13.31,MZ,2022-09-28 14:27:28
476,Salina,38.8403,-97.6114,59.95,62,0,8.05,US,2022-09-28 14:25:18
477,Hays,30.0502,-98.0336,75.63,50,0,1.99,US,2022-09-28 14:27:29
478,Southbridge,42.0751,-72.0334,63.45,77,2,4.0,US,2022-09-28 14:27:29
479,Baie-Comeau,49.2168,-68.1489,53.28,100,100,2.3,CA,2022-09-28 14:27:29
480,Port Lincoln,-34.7333,135.8667,53.24,71,77,11.39,AU,2022-09-28 14:27:30
481,Emba,48.8264,58.1442,59.74,41,100,7.31,KZ,2022-09-28 14:27:30
482,Hay River,60.8156,-115.7999,46.38,100,75,1.14,CA,2022-09-28 14:23:52
483,Sakaiminato,35.55,133.2333,69.78,83,75,6.91,JP,2022-09-28 14:27:30
484,Phan Thiet,10.9333,108.1,78.19,86,100,10.69,VN,2022-09-28 14:27:31
485,Shimoda,34.6667,138.95,67.1,78,100,4.92,JP,2022-09-28 14:27:31
486,Berlevag,70.8578,29.0864,48.15,71,100,9.22,NO,2022-09-28 14:27:31
487,Kulhudhuffushi,6.6221,73.07,82.13,71,2,12.55,MV,2022-09-28 14:27:31
488,Makakilo City,21.3469,-158.0858,77.32,75,0,4.61,US,2022-09-28 14:27:32
489,Olden,61.8364,6.8064,61.11,76,91,6.93,NO,2022-09-28 14:27:32
490,Fare,-16.7,-151.0167,77.97,73,5,11.68,PF,2022-09-28 14:27:32
491,Jibuti,11.5,42.5,96.49,21,8,11.81,DJ,2022-09-28 14:27:32
492,Lima,-12.0432,-77.0282,61.9,78,100,4.61,PE,2022-09-28 14:26:03
493,Collie,-33.3667,116.15,57.94,85,100,6.17,AU,2022-09-28 14:27:33
494,Paita,-5.0892,-81.1144,65.41,73,34,11.36,PE,2022-09-28 14:27:33
495,Viransehir,37.2353,39.7631,86.61,12,3,8.34,TR,2022-09-28 14:27:33
496,Lucani,43.8608,20.1381,68.45,49,100,7.65,RS,2022-09-28 14:27:33
